iter	Passed	Remaining
0	87	87552
1	88	44044
2	89	29583
3	89	22321
4	90	17957
5	90	15053
6	91	12969
7	92	11414
8	92	10209
9	93	9233
10	93	8433
11	94	7766
12	94	7201
13	95	6719
14	96	6306
15	96	5939
16	97	5615
17	97	5328
18	98	5070
19	98	4837
20	99	4625
21	99	4431
22	100	4255
23	100	4093
24	101	3944
25	101	3815
26	102	3690
27	103	3576
28	104	3482
29	104	3382
30	105	3289
31	105	3203
32	106	3118
33	106	3037
34	107	2962
35	107	2889
36	108	2824
37	109	2760
38	109	2699
39	111	2668
40	111	2615
41	112	2565
42	113	2515
43	113	2467
44	114	2421
45	114	2376
46	115	2332
47	115	2291
48	116	2252
49	116	2214
50	117	2179
51	117	2147
52	118	2115
53	119	2085
54	119	2056
55	120	2027
56	120	1998
57	121	1971
58	121	1945
59	122	1919
60	122	1893
61	123	1868
62	123	1843
63	124	1820
64	124	1798
65	125	1777
66	126	1756
67	126	1738
68	128	1731
69	128	1712
70	129	1694
71	130	1676
72	130	1658
73	131	1640
74	131	1623
75	132	1609
76	132	1594
77	133	1580
78	134	1566
79	135	1553
80	135	1540
81	136	1526
82	136	1509
83	137	1495
84	137	1482
85	138	1469
86	138	1455
87	139	1444
88	140	1433
89	140	1423
90	141	1414
91	142	1404
92	142	1393
93	143	1382
94	143	1370
95	144	1360
96	144	1349
97	145	1339
98	146	1330
99	146	1320
100	147	1311
101	147	1302
102	148	1295
103	149	1287
104	150	1278
105	150	1269
106	151	1260
107	151	1253
108	152	1245
109	152	1237
110	153	1229
111	154	1221
112	154	1214
113	155	1207
114	155	1199
115	156	1195
116	157	1187
117	157	1180
118	158	1173
119	159	1166
120	159	1159
121	160	1152
122	160	1145
123	161	1138
124	161	1133
125	162	1128
126	163	1122
127	164	1117
128	164	1111
129	165	1106
130	165	1100
131	166	1094
132	166	1087
133	167	1082
134	168	1076
135	168	1071
136	169	1065
137	169	1061
138	170	1056
139	171	1052
140	171	1047
141	172	1040
142	172	1035
143	173	1030
144	173	1025
145	174	1019
146	174	1015
147	175	1010
148	175	1004
149	176	999
150	177	995
151	177	990
152	178	986
153	178	982
154	179	978
155	180	974
156	180	970
157	181	965
158	181	961
159	182	956
160	182	951
161	183	947
162	183	943
163	184	940
164	185	936
165	185	932
166	186	929
167	186	925
168	187	921
169	188	918
170	188	914
171	189	910
172	189	906
173	190	903
174	190	899
175	191	896
176	192	893
177	192	890
178	193	887
179	194	884
180	194	880
181	195	877
182	195	873
183	196	870
184	196	867
185	197	864
186	198	861
187	198	857
188	199	854
189	199	851
190	200	848
191	201	847
192	202	845
193	202	842
194	203	839
195	203	835
196	204	832
197	204	829
198	205	826
199	205	823
200	206	820
201	206	817
202	207	814
203	208	811
204	208	809
205	209	806
206	209	803
207	210	800
208	210	798
209	211	795
210	211	792
211	212	789
212	212	786
213	213	783
214	214	781
215	214	778
216	215	776
217	215	773
218	216	771
219	216	769
220	217	766
221	217	763
222	218	761
223	218	758
224	219	756
225	220	753
226	220	751
227	221	748
228	221	746
229	222	744
230	222	741
231	223	739
232	223	737
233	224	734
234	225	732
235	225	730
236	226	727
237	226	726
238	227	724
239	227	721
240	228	719
241	228	717
242	229	714
243	229	712
244	230	710
245	231	708
246	231	706
247	232	704
248	233	702
249	233	700
250	234	698
251	234	696
252	235	694
253	235	692
254	236	690
255	236	688
256	237	686
257	238	684
258	238	682
259	239	680
260	239	678
261	240	676
262	240	674
263	241	672
264	241	670
265	242	668
266	242	667
267	243	665
268	244	663
269	244	661
270	245	659
271	245	657
272	246	655
273	246	654
274	247	652
275	248	650
276	248	648
277	249	646
278	249	645
279	250	643
280	250	641
281	251	640
282	252	638
283	252	636
284	253	635
285	253	633
286	254	631
287	254	630
288	255	628
289	256	627
290	256	625
291	257	623
292	257	621
293	258	620
294	258	618
295	259	617
296	260	615
297	260	613
298	261	612
299	261	610
300	262	608
301	262	607
302	263	605
303	263	604
304	264	602
305	264	600
306	265	599
307	265	597
308	266	595
309	266	594
310	267	592
311	268	591
312	268	589
313	269	588
314	269	586
315	270	585
316	270	583
317	271	581
318	271	580
319	272	579
320	273	577
321	273	576
322	274	575
323	275	573
324	275	572
325	276	570
326	276	569
327	277	567
328	277	566
329	278	564
330	278	563
331	279	562
332	279	560
333	280	559
334	280	557
335	281	556
336	282	554
337	282	553
338	283	552
339	283	551
340	284	549
341	284	548
342	285	546
343	285	545
344	286	543
345	287	542
346	287	541
347	288	539
348	288	538
349	289	537
350	289	536
351	290	534
352	291	533
353	291	532
354	292	530
355	292	529
356	293	528
357	293	526
358	294	525
359	294	524
360	295	522
361	295	521
362	296	520
363	297	519
364	297	517
365	298	516
366	298	515
367	299	514
368	299	512
369	300	511
370	301	510
371	301	509
372	302	507
373	302	506
374	303	505
375	303	504
376	304	502
377	304	501
378	305	500
